user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
Which NGO focuses on foundational literacy and numeracy in India?,"[""Page 1 of 2\nPratham Education Foundation\nEvery Child in School and Learning Well.\nmission_statement\nTo improve the quality of education in India. Pratham focuses on high-quality, low-cost, and replicable\ninterventions to address gaps in the education system. Our mission is to ensure every child is in school\nand learning well.\ncause_categories\nEducation\nFoundational Literacy & Numeracy (FLN)\nYouth Skilling\nGirls' Education\ngeographic_focus\nPan-India, with a presence in over 23 states, working in both urban and rural communities.\nkey_initiatives_summary\nTeaching at the Right Level (TaRL): An innovative pedagogical approach where children are grouped by\nlearning level rather than age or grade to build foundational reading and arithmetic skills.\nAnnual Status of Education Report (ASER): A nationwide, citizen-led household survey that provides\nreliable estimates of children's schooling status and basic learning levels in every district in India."", 'Page 4 of 4\nvetting_and_accreditation\nFounder Anshu Gupta is a Ramon Magsaysay Awardee.\nRecognized by the World Bank and NASA for its innovative development model.\nCerti\x00ed by Credibility Alliance for its transparent and accountable practices.', 'independence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.\nLivelihood Support: Forms Elder-Self-Help-Groups (ESHGs) to provide \x00nancial support and\nopportunities for older persons to earn a digni\x00ed living.', 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', '\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes\nVaccinations: Delivered 50,000 essential vaccination kits in the last year, protecting children\nfrom preventable diseases.\nTraining: Trained over 1,000 local healthcare workers in basic pediatric and maternal care.', 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",Pratham Education Foundation,Pratham focuses on foundational literacy and numeracy in India,,1.0,1.0,0.5940565302862927
Which NGO runs programs for girls' education in India?,"[""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', 'Page 4 of 4\nvetting_and_accreditation\nFounder Anshu Gupta is a Ramon Magsaysay Awardee.\nRecognized by the World Bank and NASA for its innovative development model.\nCerti\x00ed by Credibility Alliance for its transparent and accountable practices.', 'independence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.\nLivelihood Support: Forms Elder-Self-Help-Groups (ESHGs) to provide \x00nancial support and\nopportunities for older persons to earn a digni\x00ed living.', ""Page 1 of 2\nHealth for Horizons\nBringing healthcare and hope to the world's most remote communities.\nMission Statement\nTo provide critical medical supplies and healthcare training to remote communities in sub-Saharan\nAfrica, with a primary focus on improving maternal and child health outcomes.\nCause Categories\nHealth\nEducation\nWomen and Children\nMedical Aid\nGeographic Focus\nSub-Saharan Africa\nKey Initiatives Summary\nOur life-saving work is delivered through three main programs:\n\x00. Healthy Mothers, Healthy Babies: Provides prenatal care, safe birthing kits, and postnatal\nsupport.\n\x00. Village Health Workers Training Program: Equips local individuals with the skills to provide basic\nhealthcare, disease prevention education, and health monitoring in their own communities.\n\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes"", 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",Goonj,Pratham runs programs that support girls' education in India,,0.0,1.0,0.5412228114759627
Which NGO offers youth skilling or employability programs?,"[""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", 'Page 4 of 4\nvetting_and_accreditation\nFounder Anshu Gupta is a Ramon Magsaysay Awardee.\nRecognized by the World Bank and NASA for its innovative development model.\nCerti\x00ed by Credibility Alliance for its transparent and accountable practices.', 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', 'independence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.\nLivelihood Support: Forms Elder-Self-Help-Groups (ESHGs) to provide \x00nancial support and\nopportunities for older persons to earn a digni\x00ed living.', ""Page 1 of 2\nHealth for Horizons\nBringing healthcare and hope to the world's most remote communities.\nMission Statement\nTo provide critical medical supplies and healthcare training to remote communities in sub-Saharan\nAfrica, with a primary focus on improving maternal and child health outcomes.\nCause Categories\nHealth\nEducation\nWomen and Children\nMedical Aid\nGeographic Focus\nSub-Saharan Africa\nKey Initiatives Summary\nOur life-saving work is delivered through three main programs:\n\x00. Healthy Mothers, Healthy Babies: Provides prenatal care, safe birthing kits, and postnatal\nsupport.\n\x00. Village Health Workers Training Program: Equips local individuals with the skills to provide basic\nhealthcare, disease prevention education, and health monitoring in their own communities.\n\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes"", 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",The Second Chance Program and Pratham Institute.,Pratham offers youth skilling and employability programs,,1.0,1.0,0.6365514311062443
Which NGO works on child rights and improving school enrollment?,"[""Page 1 of 2\nCRY - Child Rights and You\nEnsuring Happier Childhoods for Every Child.\nmission_statement\nTo enable people to take responsibility for the situation of the deprived Indian child and so motivate\nthem to seek resolution through collective action, thereby giving the child and themselves a better\nfuture. CRY works to ensure every child's right to a happy, healthy, and creative childhood.\ncause_categories\nChild Rights\nChild Protection\nEducation\nHealth & Nutrition\nAnti-Child Labour & Child Marriage\ngeographic_focus\nPan-India, working in 19 states through partnerships with over 100 local grassroots NGOs.\nkey_initiatives_summary\nCommunity Mobilization: Empowers local communities to stand up for their children's rights, from\nensuring school enrolment to demanding better healthcare services from local governments.\nPolicy Advocacy: Works at the district, state, and national levels to in\x00uence policies that protect and\nprioritize children's rights."", ""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", '\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes\nVaccinations: Delivered 50,000 essential vaccination kits in the last year, protecting children\nfrom preventable diseases.\nTraining: Trained over 1,000 local healthcare workers in basic pediatric and maternal care.', 'Page 4 of 4\nvetting_and_accreditation\nFounder Anshu Gupta is a Ramon Magsaysay Awardee.\nRecognized by the World Bank and NASA for its innovative development model.\nCerti\x00ed by Credibility Alliance for its transparent and accountable practices.', 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",CRY - Child Rights and You,CRY works on child rights and improving school enrollment,,1.0,0.75,0.5881574558006631
Which NGO supports health and nutrition for children in India?,"['million children in more than 22,000 government schools every single school day.\nAnganwadi Feeding Programme: Extends nutritional support to young children (0-6 years) and\nexpectant/nursing mothers in Anganwadi centres.\nDisaster Relief: Provides food relief to communities affected by natural disasters like \x00oods and\ncyclones.', 'Page 2 of 2\nPreventing Child Marriage: Conducts awareness campaigns and empowers adolescent girls with\neducation and life skills to resist early marriage.\nimpact_and_outcomes\nChildren Impacted: Has impacted the lives of over 4.7 million children since its inception in 1979.\nHealth & Nutrition: In CRY project areas, 92% of children under 5 are protected from undernourishment.\nChild Marriage & Labour: 99% of adolescent girls (11-18 years) in project areas are protected from child\nmarriage, and 88% of children (6-18 years) are protected from child labour.\n\x00nancial_transparency_summary\nCRY is known for its high standards of governance and transparency. Financial details, including income\nsources and expenditure breakdowns, are published in annual reports available on their website,\nensuring accountability to donors and the public.\nvetting_and_accreditation\nRecipient of numerous awards, including the Institute of Chartered Accountants of India Award for\nExcellence in Financial Reporting.', ""Page 1 of 2\nHealth for Horizons\nBringing healthcare and hope to the world's most remote communities.\nMission Statement\nTo provide critical medical supplies and healthcare training to remote communities in sub-Saharan\nAfrica, with a primary focus on improving maternal and child health outcomes.\nCause Categories\nHealth\nEducation\nWomen and Children\nMedical Aid\nGeographic Focus\nSub-Saharan Africa\nKey Initiatives Summary\nOur life-saving work is delivered through three main programs:\n\x00. Healthy Mothers, Healthy Babies: Provides prenatal care, safe birthing kits, and postnatal\nsupport.\n\x00. Village Health Workers Training Program: Equips local individuals with the skills to provide basic\nhealthcare, disease prevention education, and health monitoring in their own communities.\n\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes"", 'NGO 5: Goonj\nGoonj\nA voice, an effort.\nmission_statement\nTo build an equitable relationship of strength, sustenance, and dignity between cities and villages, using\nunder-utilized urban material as a tool to trigger development with dignity. Goonj is a mass movement\nthat focuses on turning urban waste into a valuable resource for rural India.\ncause_categories\nRural Development\nDisaster Relief & Rehabilitation', 'Page 4 of 4\nvetting_and_accreditation\nFounder Anshu Gupta is a Ramon Magsaysay Awardee.\nRecognized by the World Bank and NASA for its innovative development model.\nCerti\x00ed by Credibility Alliance for its transparent and accountable practices.', 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",CRY,CRY supports child health and nutrition programs in India,,1.0,1.0,0.4897273027192629
Which NGO focuses on elderly care services in India?,"['Page 1 of 4\nHelpAge India\nFighting for the rights of the elderly.\nmission_statement\nTo work for the cause and care of disadvantaged older persons and to improve their quality of life.\nHelpAge India voices their concerns, advocates for their rights, and provides them with essential\nservices.\ncause_categories\nElderly Care\nHealthcare\nLivelihood Support\nElder Rights & Advocacy\ngeographic_focus\nPan-India, with a signi\x00cant presence across 26 states.\nkey_initiatives_summary\nMobile Healthcare Units (MHU): Provides free healthcare services, medicines, and consultations to\nelderly individuals in rural and underserved urban areas right at their doorstep.\nCataract Surgery Program: Conducts thousands of free cataract surgeries to restore sight and\nindependence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.', 'vetting_and_accreditation\nRecipient of numerous awards, including the Institute of Chartered Accountants of India Award for\nExcellence in Financial Reporting.\nA trusted and well-established name in the Indian non-pro\x00t sector for over four decades.', ""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', '\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes\nVaccinations: Delivered 50,000 essential vaccination kits in the last year, protecting children\nfrom preventable diseases.\nTraining: Trained over 1,000 local healthcare workers in basic pediatric and maternal care.', 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",HelpAge India,HelpAge India focuses on elderly care services,,1.0,1.0,0.5712277375295813
Which NGO provides healthcare support for senior citizens?,"['Page 1 of 4\nHelpAge India\nFighting for the rights of the elderly.\nmission_statement\nTo work for the cause and care of disadvantaged older persons and to improve their quality of life.\nHelpAge India voices their concerns, advocates for their rights, and provides them with essential\nservices.\ncause_categories\nElderly Care\nHealthcare\nLivelihood Support\nElder Rights & Advocacy\ngeographic_focus\nPan-India, with a signi\x00cant presence across 26 states.\nkey_initiatives_summary\nMobile Healthcare Units (MHU): Provides free healthcare services, medicines, and consultations to\nelderly individuals in rural and underserved urban areas right at their doorstep.\nCataract Surgery Program: Conducts thousands of free cataract surgeries to restore sight and\nindependence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.', '\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes\nVaccinations: Delivered 50,000 essential vaccination kits in the last year, protecting children\nfrom preventable diseases.\nTraining: Trained over 1,000 local healthcare workers in basic pediatric and maternal care.', 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', 'Page 4 of 4\nvetting_and_accreditation\nFounder Anshu Gupta is a Ramon Magsaysay Awardee.\nRecognized by the World Bank and NASA for its innovative development model.\nCerti\x00ed by Credibility Alliance for its transparent and accountable practices.', ""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",HelpAge India,HelpAge India provides healthcare support for senior citizens,0.9999999999,1.0,1.0,0.621669368362258
Which NGO runs rural health outreach programs?,"['\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes\nVaccinations: Delivered 50,000 essential vaccination kits in the last year, protecting children\nfrom preventable diseases.\nTraining: Trained over 1,000 local healthcare workers in basic pediatric and maternal care.', 'NGO 5: Goonj\nGoonj\nA voice, an effort.\nmission_statement\nTo build an equitable relationship of strength, sustenance, and dignity between cities and villages, using\nunder-utilized urban material as a tool to trigger development with dignity. Goonj is a mass movement\nthat focuses on turning urban waste into a valuable resource for rural India.\ncause_categories\nRural Development\nDisaster Relief & Rehabilitation', 'independence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.\nLivelihood Support: Forms Elder-Self-Help-Groups (ESHGs) to provide \x00nancial support and\nopportunities for older persons to earn a digni\x00ed living.', ""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", 'vetting_and_accreditation\nRecipient of numerous awards, including the Institute of Chartered Accountants of India Award for\nExcellence in Financial Reporting.\nA trusted and well-established name in the Indian non-pro\x00t sector for over four decades.', 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",I don't know.,Health For Horizons runs rural health outreach programs,0.0,0.0,,0.0
Which NGO supports maternal and child health initiatives?,"[""Page 1 of 2\nHealth for Horizons\nBringing healthcare and hope to the world's most remote communities.\nMission Statement\nTo provide critical medical supplies and healthcare training to remote communities in sub-Saharan\nAfrica, with a primary focus on improving maternal and child health outcomes.\nCause Categories\nHealth\nEducation\nWomen and Children\nMedical Aid\nGeographic Focus\nSub-Saharan Africa\nKey Initiatives Summary\nOur life-saving work is delivered through three main programs:\n\x00. Healthy Mothers, Healthy Babies: Provides prenatal care, safe birthing kits, and postnatal\nsupport.\n\x00. Village Health Workers Training Program: Equips local individuals with the skills to provide basic\nhealthcare, disease prevention education, and health monitoring in their own communities.\n\x00. Mobile Clinic Outreach: Deploys mobile medical units to reach isolated villages that have no\naccess to conventional healthcare facilities.\nImpact and Outcomes"", ""reliable estimates of children's schooling status and basic learning levels in every district in India.\nSecond Chance Program: Provides an opportunity for female school dropouts to complete their\nsecondary education and pursue higher studies or vocational training.\nPratham Institute: Our vocational training arm that equips youth with employable skills in sectors like\nconstruction, hospitality, and healthcare."", 'Rahat (Disaster Relief): Provides rapid and long-term relief and rehabilitation to communities affected\nby natural disasters, focusing on dignity and sustainable recovery.\nimpact_and_outcomes\nMaterial Processed: Annually processes over 7,000 tons of under-utilized material.\nDevelopment Work: Triggers thousands of community-led development projects every year under the\nCloth for Work initiative.\nSanitary Pads: Has produced and distributed millions of affordable and eco-friendly sanitary pads.\n\x00nancial_transparency_summary\nGoonj is known for its grassroots, people-centric approach and transparent operations. It provides\ndetailed reports on its material collection, processing, and distribution, alongside its \x00nancial audits,\nensuring donors understand the impact of both monetary and material contributions.', 'vetting_and_accreditation\nRecipient of numerous awards, including the Institute of Chartered Accountants of India Award for\nExcellence in Financial Reporting.\nA trusted and well-established name in the Indian non-pro\x00t sector for over four decades.', 'independence for the elderly poor.\nElder Helplines: Runs a toll-free helpline service to provide support, information, and rescue for elderly\nindividuals facing abuse or distress.\nLivelihood Support: Forms Elder-Self-Help-Groups (ESHGs) to provide \x00nancial support and\nopportunities for older persons to earn a digni\x00ed living.', 'Governance and Leadership\nThe Global Reforestation Fund is led by Dr. Jane Foster, a renowned ecologist with over 20 years of \x00eld\nexperience in conservation. Our independent board of directors, composed of experts in environmental\nscience and \x00nance, provides rigorous oversight to ensure our mission is executed effectively and\nethically.\nVetting and Accreditation\nWe are proud to be recognized for our transparency and effectiveness by leading charity evaluators:\nCharity Navigator: 4-Star Rating\nGuidestar: Platinum Seal of Transparency']",Health for Horizons,Health For Horizons supports maternal and child health initiatives,0.9999999999,1.0,1.0,0.6175488122005701
Which NGO is focused on tree planting and reforestation?,"['Page 1 of 2\nGlobal Reforestation Fund\nA commitment to a greener planet and empowered communities.\nMission Statement\nTo combat deforestation by planting 1 million trees annually in critical ecosystems, empowering local\ncommunities through sustainable practices. Our goal is to restore natural habitats, \x00ght climate\nchange, and create sustainable livelihoods.\nCause Categories\nEnvironment\nCommunity Development\nSustainability\nClimate Action\nGeographic Focus\nAmazon Rainforest, Brazil\nSoutheast Asia (Mangrove Restoration)\nCalifornia, USA (Urban Greening)\nKey Initiatives Summary\nOur work is divided into three core pillars:\n\x00. Amazon Rainforest Restoration Project: Focused on reforesting areas affected by logging and\nagriculture.\n\x00. Community-led Mangrove Planting Initiative: Working with coastal communities in Southeast\nAsia to restore vital mangrove ecosystems.\n\x00. Urban Greening Program: Partnering with cities in California to plant trees in urban areas,', 'Asia to restore vital mangrove ecosystems.\n\x00. Urban Greening Program: Partnering with cities in California to plant trees in urban areas,\nimproving air quality and reducing heat island effects.\nImpact and Outcomes', 'NGO 5: Goonj\nGoonj\nA voice, an effort.\nmission_statement\nTo build an equitable relationship of strength, sustenance, and dignity between cities and villages, using\nunder-utilized urban material as a tool to trigger development with dignity. Goonj is a mass movement\nthat focuses on turning urban waste into a valuable resource for rural India.\ncause_categories\nRural Development\nDisaster Relief & Rehabilitation', ""Policy Advocacy: Works at the district, state, and national levels to in\x00uence policies that protect and\nprioritize children's rights.\nStopping Child Labour: Focuses on identifying and rescuing children from labour, enrolling them in\nschools, and providing their families with alternative livelihood support."", 'Page 2 of 2\nMortality Reduction: Contributed to a 15% reduction in maternal mortality in our key operational\nregions.\nFinancial Transparency Summary\nWe believe that every dollar should count. Our \x00nancial model prioritizes direct impact:\n90% of all funds are used for direct program services, including medical supply procurement,\nlogistics, and training programs.\n10% covers our lean administrative and fundraising costs to ensure our programs can continue to\ngrow.\nGovernance and Leadership\nOur organization is directed by Dr. David Chen, a public health expert with extensive \x00eld experience\nworking with the World Health Organization (WHO). Our board includes medical professionals and\ndevelopment experts who guide our strategic direction and ensure accountability.\nVetting and Accreditation\nOur commitment to effectiveness is recognized by top evaluators in the philanthropic sector:\nGiveWell: Top-rated for our proven, effective, and cost-e\x00cient health interventions.', 'vetting_and_accreditation\nRecipient of numerous awards, including the Institute of Chartered Accountants of India Award for\nExcellence in Financial Reporting.\nA trusted and well-established name in the Indian non-pro\x00t sector for over four decades.']",Global Reforestation Fund,Global Reforestation Fund focuses on tree planting and reforestation,0.9999999999,1.0,1.0,0.5378350722034354
